year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Illinois,40.633,-89.398,-6.57,5.29,-21.6,1.12,91.03,6.61,3.42
201002,Illinois,40.633,-89.398,-3.72,5.36,-13.21,1.54,89.38,11.45,3.21
201003,Illinois,40.633,-89.398,5.54,23.73,-4.79,2.22,84.77,13.59,3.38
201004,Illinois,40.633,-89.398,14.2,26.73,0.38,2.41,77.25,19.46,3.78
201005,Illinois,40.633,-89.398,17.03,29.9,0.99,4.56,79.83,19.4,3.08
201006,Illinois,40.633,-89.398,23.81,31.09,12.61,7.05,82.86,22.11,2.48
201007,Illinois,40.633,-89.398,24.72,31.4,12.61,2.95,82.41,22.75,2.21
201008,Illinois,40.633,-89.398,24.25,33.04,12.53,2.54,80.02,21.95,2.09
201009,Illinois,40.633,-89.398,18.87,30.58,6.47,3.59,76.35,16.67,2.91
201010,Illinois,40.633,-89.398,12.81,28.77,-3.63,1.32,67.98,14.16,3.04
201011,Illinois,40.633,-89.398,5.18,21.68,-7.75,1.91,75.42,8.42,3.62
201012,Illinois,40.633,-89.398,-5.11,14.76,-17.94,2.17,89.38,5.0,3.41
201013,Illinois,40.633,-89.398,10.99,33.04,-21.6,2.78,81.36,15.14,3.05
201101,Illinois,40.633,-89.398,-6.08,3.75,-21.28,0.87,85.4,5.97,3.16
201102,Illinois,40.633,-89.398,-2.39,17.27,-24.59,2.59,88.23,9.66,3.84
201103,Illinois,40.633,-89.398,4.24,22.62,-6.66,1.44,78.3,13.01,3.66
201104,Illinois,40.633,-89.398,10.93,28.51,-1.92,5.23,77.72,15.18,4.33
201105,Illinois,40.633,-89.398,16.33,30.07,-0.39,4.4,80.95,18.34,3.37
201106,Illinois,40.633,-89.398,22.3,31.91,10.83,4.37,81.59,19.7,2.93
201107,Illinois,40.633,-89.398,26.23,34.15,15.44,2.15,80.89,23.72,1.9
201108,Illinois,40.633,-89.398,24.28,36.3,14.33,1.33,68.73,21.98,2.1
201109,Illinois,40.633,-89.398,17.41,38.95,4.28,2.73,67.23,15.67,2.84
201110,Illinois,40.633,-89.398,12.44,28.98,-0.96,1.24,66.52,12.54,2.9
201111,Illinois,40.633,-89.398,6.51,22.34,-6.5,3.31,77.32,7.09,4.08
201112,Illinois,40.633,-89.398,0.9,14.43,-9.71,2.59,84.5,5.81,3.27
201113,Illinois,40.633,-89.398,11.17,38.95,-24.59,2.67,78.06,14.09,3.19
201201,Illinois,40.633,-89.398,-1.28,15.43,-13.36,1.13,81.33,7.43,4.08
201202,Illinois,40.633,-89.398,0.62,14.4,-12.67,1.11,79.58,10.39,3.74
201203,Illinois,40.633,-89.398,12.02,26.54,-5.51,1.17,77.22,14.95,4.22
201204,Illinois,40.633,-89.398,12.38,28.5,-2.28,1.95,70.15,18.27,3.98
201205,Illinois,40.633,-89.398,19.6,34.04,6.76,2.31,68.5,23.5,3.09
201206,Illinois,40.633,-89.398,23.82,41.71,6.92,1.14,56.83,25.47,2.93
201207,Illinois,40.633,-89.398,30.08,42.27,17.84,0.79,46.08,24.27,2.29
201208,Illinois,40.633,-89.398,24.48,37.86,12.82,3.55,54.76,20.39,2.07
201209,Illinois,40.633,-89.398,17.95,31.41,3.42,3.85,71.2,17.52,2.52
201210,Illinois,40.633,-89.398,10.36,25.6,-3.28,3.97,73.83,11.45,3.57
201211,Illinois,40.633,-89.398,3.86,21.77,-6.72,0.79,78.77,8.28,2.72
201212,Illinois,40.633,-89.398,1.77,20.93,-9.86,1.69,84.32,5.2,3.61
201213,Illinois,40.633,-89.398,13.02,42.27,-13.36,1.96,70.17,15.6,3.23
201301,Illinois,40.633,-89.398,-2.83,17.24,-18.7,2.42,79.41,7.83,4.09
201302,Illinois,40.633,-89.398,-2.26,9.76,-16.18,2.18,80.99,9.1,4.07
201303,Illinois,40.633,-89.398,0.58,15.36,-11.27,1.51,78.18,13.39,3.57
201304,Illinois,40.633,-89.398,9.88,27.67,-5.65,5.66,76.62,16.94,3.94
201305,Illinois,40.633,-89.398,17.78,29.32,1.28,6.39,79.92,18.76,3.34
201306,Illinois,40.633,-89.398,21.3,31.04,8.56,3.19,82.67,20.55,2.67
201307,Illinois,40.633,-89.398,22.29,31.89,9.89,1.77,79.94,22.9,2.17
201308,Illinois,40.633,-89.398,23.15,36.77,11.93,1.19,72.7,21.07,1.92
201309,Illinois,40.633,-89.398,20.92,36.57,7.35,1.29,64.49,18.54,2.59
201310,Illinois,40.633,-89.398,12.16,29.54,-3.99,3.41,72.15,11.24,3.05
201311,Illinois,40.633,-89.398,2.83,21.74,-11.92,1.72,74.85,7.83,3.8
201312,Illinois,40.633,-89.398,-4.09,15.95,-20.64,1.28,83.65,5.33,3.42
201313,Illinois,40.633,-89.398,10.21,36.77,-20.64,2.67,77.13,14.48,3.21
