year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Indiana,40.267,-86.134,-5.08,10.5,-17.19,0.93,89.12,6.19,3.84
201002,Indiana,40.267,-86.134,-3.29,4.8,-12.61,1.24,87.96,9.89,3.21
201003,Indiana,40.267,-86.134,5.44,23.19,-5.83,2.91,81.43,13.99,3.03
201004,Indiana,40.267,-86.134,13.45,26.89,-1.37,2.1,74.12,19.32,3.9
201005,Indiana,40.267,-86.134,17.37,30.36,2.19,4.94,77.85,18.93,3.18
201006,Indiana,40.267,-86.134,22.96,30.44,10.7,7.84,82.17,22.99,2.54
201007,Indiana,40.267,-86.134,24.17,31.92,10.57,4.04,80.72,22.91,2.12
201008,Indiana,40.267,-86.134,23.73,31.98,12.34,1.92,77.06,21.44,1.78
201009,Indiana,40.267,-86.134,19.01,32.95,7.55,1.33,67.39,16.83,2.84
201010,Indiana,40.267,-86.134,12.8,29.68,-2.37,0.9,63.1,13.43,3.02
201011,Indiana,40.267,-86.134,4.9,22.59,-10.48,3.57,74.17,7.99,3.37
201012,Indiana,40.267,-86.134,-4.55,13.72,-14.71,1.0,87.63,5.89,3.53
201013,Indiana,40.267,-86.134,10.98,32.95,-17.19,2.73,78.53,15.01,3.03
201101,Indiana,40.267,-86.134,-5.58,10.72,-19.02,1.39,83.63,5.65,3.33
201102,Indiana,40.267,-86.134,-2.59,15.36,-27.57,3.59,88.53,8.69,3.97
201103,Indiana,40.267,-86.134,3.98,21.79,-6.09,2.23,78.98,13.66,3.79
201104,Indiana,40.267,-86.134,10.97,26.95,-1.93,6.48,79.49,14.25,4.52
201105,Indiana,40.267,-86.134,16.85,30.27,1.55,4.68,83.21,17.36,3.03
201106,Indiana,40.267,-86.134,21.67,31.41,10.29,4.68,80.86,21.53,2.64
201107,Indiana,40.267,-86.134,25.36,34.61,15.67,1.96,80.01,23.67,1.9
201108,Indiana,40.267,-86.134,22.64,32.19,12.2,3.27,74.64,21.75,1.97
201109,Indiana,40.267,-86.134,17.04,35.79,5.6,4.31,74.74,13.41,2.79
201110,Indiana,40.267,-86.134,11.34,26.99,-0.41,2.56,75.24,12.53,2.84
201111,Indiana,40.267,-86.134,6.81,19.77,-6.87,4.87,81.72,7.06,4.3
201112,Indiana,40.267,-86.134,0.68,12.84,-8.35,3.45,88.82,5.22,3.21
201113,Indiana,40.267,-86.134,10.84,35.79,-27.57,3.61,80.78,13.77,3.18
201201,Indiana,40.267,-86.134,-1.15,11.55,-13.23,2.79,86.68,6.36,4.38
201202,Indiana,40.267,-86.134,0.4,17.94,-11.57,1.33,85.99,9.36,3.54
201203,Indiana,40.267,-86.134,11.11,27.0,-4.53,1.95,82.41,15.23,4.01
201204,Indiana,40.267,-86.134,10.61,24.56,-1.94,1.7,75.5,19.47,3.87
201205,Indiana,40.267,-86.134,18.89,31.25,4.1,1.85,74.41,23.95,2.76
201206,Indiana,40.267,-86.134,22.46,40.07,8.19,1.09,62.8,25.88,2.65
201207,Indiana,40.267,-86.134,27.65,40.17,15.69,2.11,57.95,22.77,2.11
201208,Indiana,40.267,-86.134,22.89,35.73,10.12,4.03,61.09,21.4,1.9
201209,Indiana,40.267,-86.134,17.58,30.14,2.77,4.09,73.23,15.45,2.34
201210,Indiana,40.267,-86.134,10.33,25.13,-1.0,3.77,76.5,10.58,3.79
201211,Indiana,40.267,-86.134,3.52,20.66,-5.79,0.7,78.57,8.88,2.53
201212,Indiana,40.267,-86.134,2.11,20.01,-10.92,2.27,86.13,4.93,3.71
201213,Indiana,40.267,-86.134,12.25,40.17,-13.23,2.32,75.07,15.36,3.13
201301,Indiana,40.267,-86.134,-2.89,16.84,-16.98,3.4,85.05,7.3,4.18
201302,Indiana,40.267,-86.134,-2.33,11.15,-14.09,1.74,82.59,8.46,4.01
201303,Indiana,40.267,-86.134,0.51,17.07,-9.66,1.28,79.68,12.75,3.63
201304,Indiana,40.267,-86.134,9.8,25.32,-5.03,6.73,77.9,15.93,3.82
201305,Indiana,40.267,-86.134,17.54,27.97,0.93,3.58,80.08,19.02,3.24
201306,Indiana,40.267,-86.134,20.9,29.39,6.51,4.21,81.99,22.02,2.67
201307,Indiana,40.267,-86.134,22.13,31.39,10.2,1.86,81.32,21.1,2.17
201308,Indiana,40.267,-86.134,22.07,33.72,9.15,1.75,74.03,20.31,1.85
201309,Indiana,40.267,-86.134,19.46,36.41,5.45,2.58,69.05,17.37,2.33
201310,Indiana,40.267,-86.134,11.82,28.27,-4.09,3.25,75.58,10.97,2.84
201311,Indiana,40.267,-86.134,3.06,19.92,-7.69,1.43,77.26,7.78,3.83
201312,Indiana,40.267,-86.134,-2.5,15.06,-15.31,2.44,83.24,5.02,3.79
201313,Indiana,40.267,-86.134,10.03,36.41,-16.98,2.85,78.98,14.03,3.19
201401,Indiana,40.267,-86.134,-7.92,7.77,-27.39,1.64,85.28,5.92,4.76
201402,Indiana,40.267,-86.134,-7.64,13.53,-25.0,2.63,87.71,11.43,3.57
201403,Indiana,40.267,-86.134,0.19,17.38,-18.16,1.68,80.08,13.58,3.82
201404,Indiana,40.267,-86.134,9.82,22.94,-4.39,3.72,76.95,18.12,3.93
201405,Indiana,40.267,-86.134,16.45,28.98,2.18,3.05,76.59,21.37,3.19
201406,Indiana,40.267,-86.134,22.19,30.37,9.66,4.52,79.71,22.23,2.62
201407,Indiana,40.267,-86.134,21.05,30.8,10.64,1.64,73.26,22.02,2.39
201408,Indiana,40.267,-86.134,23.01,31.64,8.43,4.34,73.08,17.97,2.0
201409,Indiana,40.267,-86.134,17.41,30.25,5.62,3.37,74.23,16.64,2.17
201410,Indiana,40.267,-86.134,11.13,27.13,-1.14,3.03,79.08,9.92,3.14
201411,Indiana,40.267,-86.134,1.11,18.55,-12.0,2.45,77.58,6.54,3.96
201412,Indiana,40.267,-86.134,-0.18,9.76,-13.53,1.52,86.45,4.34,3.03
201413,Indiana,40.267,-86.134,8.98,31.64,-27.39,2.79,79.12,14.18,3.21
201501,Indiana,40.267,-86.134,-5.0,7.92,-23.14,1.57,84.76,7.1,3.59
201502,Indiana,40.267,-86.134,-7.4,6.69,-20.11,1.09,80.44,11.05,3.73
201503,Indiana,40.267,-86.134,2.16,21.78,-16.52,1.88,79.42,14.46,3.24
201504,Indiana,40.267,-86.134,10.77,24.39,-4.25,3.43,74.04,17.61,3.6
201505,Indiana,40.267,-86.134,17.98,28.43,1.85,3.54,78.25,19.53,3.17
201506,Indiana,40.267,-86.134,21.26,30.69,6.14,9.08,83.09,19.24,2.8
201507,Indiana,40.267,-86.134,22.31,30.77,11.88,4.42,81.66,20.04,2.04
