year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Kansas,38.526,-96.726,-3.79,13.18,-21.1,0.45,85.38,8.12,3.26
201002,Kansas,38.526,-96.726,-1.92,10.88,-11.98,0.91,81.29,9.77,3.06
201003,Kansas,38.526,-96.726,6.32,26.3,-4.53,1.77,77.0,13.23,3.92
201004,Kansas,38.526,-96.726,14.93,28.85,0.58,2.67,67.96,19.66,4.27
201005,Kansas,38.526,-96.726,17.82,30.28,3.09,3.58,73.06,20.9,3.25
201006,Kansas,38.526,-96.726,25.31,34.2,15.62,5.29,75.32,24.27,3.31
201007,Kansas,38.526,-96.726,26.44,35.83,16.74,5.52,76.48,22.94,2.91
201008,Kansas,38.526,-96.726,27.48,40.42,12.69,2.28,59.53,23.61,3.1
201009,Kansas,38.526,-96.726,21.91,35.73,6.95,4.13,66.55,17.39,3.56
201010,Kansas,38.526,-96.726,14.99,30.48,1.31,0.94,58.52,15.14,3.1
201011,Kansas,38.526,-96.726,5.84,21.36,-7.21,1.66,67.93,10.23,3.85
201012,Kansas,38.526,-96.726,-0.82,16.62,-11.29,0.08,73.28,7.37,3.22
201013,Kansas,38.526,-96.726,12.95,40.42,-21.1,2.44,71.81,16.08,3.4
201101,Kansas,38.526,-96.726,-3.4,13.99,-17.38,0.41,76.1,8.4,3.36
201102,Kansas,38.526,-96.726,-0.88,22.78,-18.7,1.47,73.27,10.98,3.88
201103,Kansas,38.526,-96.726,6.32,26.63,-6.23,1.13,71.98,13.36,3.84
201104,Kansas,38.526,-96.726,13.36,30.72,-1.11,1.78,60.8,18.38,4.26
201105,Kansas,38.526,-96.726,18.63,36.97,4.07,3.14,62.26,20.35,4.09
201106,Kansas,38.526,-96.726,26.77,41.25,14.44,2.69,55.69,25.36,3.95
201107,Kansas,38.526,-96.726,31.89,44.48,18.83,1.8,47.0,25.95,2.94
201108,Kansas,38.526,-96.726,29.15,45.01,17.57,2.54,52.73,22.15,2.58
201109,Kansas,38.526,-96.726,19.95,41.95,9.0,1.91,48.85,18.36,2.97
201110,Kansas,38.526,-96.726,14.84,31.68,-2.65,1.19,51.29,14.87,3.63
201111,Kansas,38.526,-96.726,5.72,23.27,-5.47,3.08,67.17,9.54,3.86
201112,Kansas,38.526,-96.726,0.03,16.06,-13.32,2.58,81.65,7.5,3.2
201113,Kansas,38.526,-96.726,13.62,45.01,-18.7,1.98,62.36,16.29,3.54
201201,Kansas,38.526,-96.726,1.17,16.03,-11.34,0.04,69.53,10.07,3.68
201202,Kansas,38.526,-96.726,2.36,17.22,-12.7,2.17,72.45,11.12,3.58
201203,Kansas,38.526,-96.726,13.25,27.31,-4.57,2.37,72.48,15.36,3.98
201204,Kansas,38.526,-96.726,15.82,31.35,3.3,2.56,68.61,19.68,3.73
201205,Kansas,38.526,-96.726,21.72,32.89,7.26,1.36,58.85,24.53,4.0
201206,Kansas,38.526,-96.726,26.24,41.54,8.22,2.47,55.56,26.85,3.77
201207,Kansas,38.526,-96.726,31.46,43.79,19.02,0.69,39.96,25.58,3.01
201208,Kansas,38.526,-96.726,26.26,39.99,13.91,2.83,46.99,21.39,2.67
201209,Kansas,38.526,-96.726,21.23,41.7,7.19,1.95,54.35,16.83,2.77
201210,Kansas,38.526,-96.726,13.1,29.62,-2.67,1.01,56.98,13.14,3.59
201211,Kansas,38.526,-96.726,8.08,25.57,-5.94,0.84,61.72,10.71,3.47
201212,Kansas,38.526,-96.726,1.8,20.57,-13.42,0.29,67.57,7.5,3.5
201213,Kansas,38.526,-96.726,15.25,43.79,-13.42,1.54,60.36,16.91,3.48
201301,Kansas,38.526,-96.726,0.2,22.14,-10.37,0.49,67.83,9.0,3.43
201302,Kansas,38.526,-96.726,1.17,18.4,-10.19,1.72,68.9,11.62,3.93
201303,Kansas,38.526,-96.726,4.57,27.48,-6.58,1.23,65.75,14.67,3.82
201304,Kansas,38.526,-96.726,10.17,29.52,-5.6,2.79,65.14,15.94,4.14
201305,Kansas,38.526,-96.726,17.65,32.06,-0.19,4.16,71.63,20.35,3.86
201306,Kansas,38.526,-96.726,24.56,39.31,9.28,2.35,62.83,25.13,3.9
201307,Kansas,38.526,-96.726,26.67,41.35,14.39,5.87,58.29,20.73,3.0
201308,Kansas,38.526,-96.726,23.95,34.85,13.28,5.86,79.8,20.16,2.48
201309,Kansas,38.526,-96.726,21.9,35.54,9.5,1.68,64.83,18.71,3.28
201310,Kansas,38.526,-96.726,13.09,30.07,-0.54,2.74,64.36,13.83,3.74
201311,Kansas,38.526,-96.726,4.68,21.74,-9.2,0.59,67.1,9.62,3.93
201312,Kansas,38.526,-96.726,-2.26,16.36,-15.64,0.49,73.57,7.86,3.3
201313,Kansas,38.526,-96.726,12.25,41.35,-15.64,2.51,67.52,15.65,3.56
201401,Kansas,38.526,-96.726,-2.68,14.42,-22.13,0.22,65.11,9.25,4.38
201402,Kansas,38.526,-96.726,-2.6,18.28,-18.1,0.75,71.28,10.88,3.65
201403,Kansas,38.526,-96.726,4.17,23.91,-18.5,0.42,59.52,16.57,4.52
201404,Kansas,38.526,-96.726,12.6,28.73,-3.78,1.68,56.76,18.18,4.52
201405,Kansas,38.526,-96.726,20.18,37.23,2.53,2.55,58.54,23.01,3.4
201406,Kansas,38.526,-96.726,23.74,32.92,10.9,7.27,77.45,22.08,3.68
201407,Kansas,38.526,-96.726,25.24,39.86,12.08,1.01,57.61,24.08,3.02
201408,Kansas,38.526,-96.726,27.66,38.52,14.2,3.58,55.12,22.38,3.02
201409,Kansas,38.526,-96.726,21.11,34.64,4.75,2.59,65.83,17.31,3.34
201410,Kansas,38.526,-96.726,15.01,29.96,-0.05,1.94,64.97,13.61,3.23
201411,Kansas,38.526,-96.726,3.34,20.78,-12.5,0.2,60.35,10.16,4.07
201412,Kansas,38.526,-96.726,1.25,16.11,-13.43,1.38,77.38,5.68,3.22
201413,Kansas,38.526,-96.726,12.51,39.86,-22.13,1.97,64.09,16.13,3.67
201501,Kansas,38.526,-96.726,-0.55,18.53,-15.26,0.77,67.24,8.89,3.37
201502,Kansas,38.526,-96.726,-2.34,18.5,-15.35,0.52,67.6,11.75,3.76
201503,Kansas,38.526,-96.726,8.04,26.88,-12.05,0.35,63.54,16.82,3.15
201504,Kansas,38.526,-96.726,14.41,27.95,-0.23,2.78,62.82,18.94,3.79
201505,Kansas,38.526,-96.726,17.54,29.95,3.89,7.87,76.12,17.87,3.59
201506,Kansas,38.526,-96.726,24.3,33.82,12.56,3.37,77.03,23.59,2.94
201507,Kansas,38.526,-96.726,26.09,38.27,15.36,3.94,74.26,21.6,2.73
201508,Kansas,38.526,-96.726,24.64,35.02,13.44,3.06,66.07,21.63,2.64
201509,Kansas,38.526,-96.726,23.79,37.58,11.16,1.61,62.17,18.19,3.5
201510,Kansas,38.526,-96.726,15.59,31.24,1.29,0.77,55.3,13.96,2.98
201511,Kansas,38.526,-96.726,8.73,25.15,-6.91,3.41,68.03,9.29,4.15
201512,Kansas,38.526,-96.726,2.02,17.62,-10.01,2.51,84.33,7.1,3.59
201513,Kansas,38.526,-96.726,13.61,38.27,-15.35,2.59,68.73,15.82,3.34
201601,Kansas,38.526,-96.726,-1.46,15.37,-16.11,0.5,81.71,8.16,3.24
201602,Kansas,38.526,-96.726,3.96,21.82,-6.28,0.53,69.88,13.79,4.07
201603,Kansas,38.526,-96.726,9.94,24.76,-4.32,0.87,65.9,15.92,4.37
201604,Kansas,38.526,-96.726,14.12,28.14,-0.78,4.11,64.72,20.44,4.08
201605,Kansas,38.526,-96.726,17.38,29.38,3.14,5.46,73.8,19.93,3.15
201606,Kansas,38.526,-96.726,25.61,37.15,14.03,1.56,70.61,26.31,2.8
201607,Kansas,38.526,-96.726,26.83,37.86,17.45,5.39,74.0,22.96,2.97
201608,Kansas,38.526,-96.726,25.0,35.78,12.82,5.1,73.16,20.18,2.64
201609,Kansas,38.526,-96.726,21.6,32.83,7.3,4.64,74.98,18.31,3.27
201610,Kansas,38.526,-96.726,16.16,29.45,3.12,1.59,74.43,13.36,3.7
201611,Kansas,38.526,-96.726,9.89,25.15,-4.67,0.31,71.57,10.07,3.32
201612,Kansas,38.526,-96.726,-1.14,18.71,-18.19,0.68,68.94,7.59,3.13
201613,Kansas,38.526,-96.726,14.0,37.86,-18.19,2.57,72.0,16.41,3.39
201701,Kansas,38.526,-96.726,-0.02,16.72,-12.22,1.34,74.91,8.56,3.58
201702,Kansas,38.526,-96.726,5.64,22.98,-6.16,0.44,69.93,12.46,3.71
201703,Kansas,38.526,-96.726,8.91,28.97,-4.86,3.48,66.76,14.12,4.47
201704,Kansas,38.526,-96.726,13.14,26.27,0.89,4.5,75.05,17.23,4.13
201705,Kansas,38.526,-96.726,17.65,29.67,2.1,3.81,73.35,23.59,3.49
201706,Kansas,38.526,-96.726,23.99,33.76,13.84,3.08,68.55,25.13,3.4
201707,Kansas,38.526,-96.726,28.1,42.35,15.45,1.58,58.42,24.71,2.8
201708,Kansas,38.526,-96.726,24.15,37.18,13.91,2.64,62.18,21.19,2.44
201709,Kansas,38.526,-96.726,23.34,35.21,10.47,1.39,55.55,16.94,3.23
201710,Kansas,38.526,-96.726,14.57,30.06,-4.86,2.91,63.92,13.54,4.25
201711,Kansas,38.526,-96.726,7.57,23.99,-5.84,0.14,67.98,8.41,3.44
201712,Kansas,38.526,-96.726,0.84,19.02,-16.75,0.12,65.47,8.11,3.71
201713,Kansas,38.526,-96.726,14.03,42.35,-16.75,2.13,66.81,16.19,3.55
201801,Kansas,38.526,-96.726,-2.03,15.97,-19.55,0.34,67.66,9.06,3.9
201802,Kansas,38.526,-96.726,0.09,18.95,-11.36,0.62,64.68,10.78,4.04
201803,Kansas,38.526,-96.726,7.52,23.85,-5.13,0.93,62.58,15.42,4.39
201804,Kansas,38.526,-96.726,9.59,30.74,-6.9,1.43,58.37,18.54,4.33
201805,Kansas,38.526,-96.726,23.61,36.08,10.07,3.35,64.06,23.07,3.08
201806,Kansas,38.526,-96.726,27.27,38.06,14.88,2.86,61.24,25.38,3.72
201807,Kansas,38.526,-96.726,27.49,37.93,15.18,3.54,59.55,23.81,1.99
201808,Kansas,38.526,-96.726,25.42,36.43,15.42,5.02,67.09,20.05,3.04
201809,Kansas,38.526,-96.726,21.12,34.48,7.6,3.57,77.19,15.53,3.15
201810,Kansas,38.526,-96.726,12.23,31.75,-3.35,5.91,78.54,11.4,2.98
201811,Kansas,38.526,-96.726,2.13,15.87,-9.55,1.26,81.17,9.11,3.18
201812,Kansas,38.526,-96.726,0.76,11.91,-8.28,1.74,82.78,7.22,3.35
201813,Kansas,38.526,-96.726,13.02,38.06,-19.55,2.57,68.77,15.81,3.42
201901,Kansas,38.526,-96.726,-1.56,13.88,-16.15,1.04,82.42,7.36,3.53
201902,Kansas,38.526,-96.726,-2.2,18.71,-14.54,1.01,81.94,9.17,3.96
201903,Kansas,38.526,-96.726,4.18,21.2,-18.5,1.92,77.65,14.57,3.89
201904,Kansas,38.526,-96.726,13.27,26.83,-2.52,3.03,72.82,19.67,3.84
201905,Kansas,38.526,-96.726,17.22,29.25,3.52,10.4,82.33,18.88,3.17
201906,Kansas,38.526,-96.726,22.42,31.7,9.91,5.11,81.11,24.91,2.87
201907,Kansas,38.526,-96.726,24.76,32.88,14.56,2.24,81.07,25.28,2.86
201908,Kansas,38.526,-96.726,24.48,33.29,15.11,7.11,84.37,18.7,2.46
201909,Kansas,38.526,-96.726,23.54,32.5,12.31,1.5,81.03,17.19,3.54
201910,Kansas,38.526,-96.726,10.09,29.4,-6.34,1.84,72.23,12.7,3.72
201911,Kansas,38.526,-96.726,4.16,20.35,-9.17,0.64,74.68,9.96,3.59
201912,Kansas,38.526,-96.726,1.95,16.99,-6.52,1.37,79.33,7.72,3.53
201913,Kansas,38.526,-96.726,11.93,33.29,-18.5,3.12,79.25,15.53,3.41
202001,Kansas,38.526,-96.726,-0.32,13.66,-14.27,1.48,82.7,7.41,3.62
202002,Kansas,38.526,-96.726,1.04,18.34,-13.95,1.55,75.76,11.55,3.44
202003,Kansas,38.526,-96.726,8.64,23.33,-5.81,2.0,76.0,14.33,3.48
202004,Kansas,38.526,-96.726,11.56,26.76,-4.86,1.61,69.09,18.91,3.76
202005,Kansas,38.526,-96.726,16.47,27.48,1.96,4.68,77.34,18.73,3.22
202006,Kansas,38.526,-96.726,25.34,34.23,13.55,1.91,69.78,26.67,3.84
202007,Kansas,38.526,-96.726,26.47,34.27,16.81,6.65,75.56,22.71,2.52
202008,Kansas,38.526,-96.726,25.13,36.75,12.85,1.31,64.64,22.33,2.69
202009,Kansas,38.526,-96.726,19.89,36.22,6.77,1.84,65.17,16.48,3.02
202010,Kansas,38.526,-96.726,12.16,33.03,-4.84,0.84,58.59,12.61,3.63
202011,Kansas,38.526,-96.726,8.79,24.51,-6.65,1.38,64.55,10.09,3.91
202012,Kansas,38.526,-96.726,1.64,16.78,-6.77,0.97,70.44,8.45,3.08
202013,Kansas,38.526,-96.726,13.1,36.75,-14.27,2.19,70.81,15.86,3.35
202101,Kansas,38.526,-96.726,0.42,13.4,-11.07,1.64,76.56,7.84,3.37
202102,Kansas,38.526,-96.726,-4.0,19.5,-22.28,0.19,72.43,11.61,3.78
202103,Kansas,38.526,-96.726,8.98,24.57,-4.1,3.08,70.45,15.34,4.44
