year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Minnesota,46.729,-94.685,-14.8,0.26,-34.82,0.57,96.44,6.27,3.53
201002,Minnesota,46.729,-94.685,-11.56,0.01,-25.77,0.41,94.33,11.17,3.0
201003,Minnesota,46.729,-94.685,1.91,18.08,-10.7,0.77,81.94,13.23,3.51
201004,Minnesota,46.729,-94.685,8.96,20.92,-4.14,1.12,68.09,18.48,3.6
201005,Minnesota,46.729,-94.685,13.47,28.93,-0.03,2.24,69.71,19.03,3.36
201006,Minnesota,46.729,-94.685,18.1,28.79,8.06,3.66,73.19,19.92,2.98
201007,Minnesota,46.729,-94.685,21.96,31.08,12.85,5.0,72.08,22.4,3.08
201008,Minnesota,46.729,-94.685,21.78,33.44,8.29,4.17,73.29,19.42,3.56
201009,Minnesota,46.729,-94.685,12.4,24.28,0.74,3.76,76.87,13.24,3.57
201010,Minnesota,46.729,-94.685,8.14,25.49,-5.81,2.59,75.45,11.6,3.48
201011,Minnesota,46.729,-94.685,-1.51,14.79,-18.17,0.91,83.29,5.57,3.69
201012,Minnesota,46.729,-94.685,-12.91,0.3,-29.42,1.1,94.37,4.09,3.35
201013,Minnesota,46.729,-94.685,5.59,33.44,-34.82,2.2,79.85,13.72,3.39
201101,Minnesota,46.729,-94.685,-16.56,-1.33,-36.47,0.63,96.36,6.43,3.29
201102,Minnesota,46.729,-94.685,-12.06,2.03,-30.09,0.36,94.28,10.84,4.58
201103,Minnesota,46.729,-94.685,-4.25,12.58,-25.68,0.94,83.1,15.35,3.74
201104,Minnesota,46.729,-94.685,4.76,19.48,-4.02,2.32,76.21,15.71,3.95
201105,Minnesota,46.729,-94.685,11.48,25.29,-3.03,3.85,75.9,18.41,3.82
201106,Minnesota,46.729,-94.685,16.76,30.3,5.78,3.02,78.77,19.54,3.5
201107,Minnesota,46.729,-94.685,22.94,32.91,11.77,4.18,75.34,22.84,2.72
201108,Minnesota,46.729,-94.685,20.92,30.13,10.78,2.73,70.31,19.57,2.82
201109,Minnesota,46.729,-94.685,14.77,32.23,0.94,0.62,63.46,15.69,3.09
201110,Minnesota,46.729,-94.685,9.69,28.54,-2.16,0.93,67.17,10.67,3.58
201111,Minnesota,46.729,-94.685,0.09,12.61,-12.13,0.25,72.34,5.91,3.59
201112,Minnesota,46.729,-94.685,-5.97,6.12,-18.4,0.26,78.55,4.74,3.71
201113,Minnesota,46.729,-94.685,5.31,32.91,-36.47,1.69,77.57,13.83,3.52
201201,Minnesota,46.729,-94.685,-7.98,6.76,-26.85,0.37,80.13,4.73,4.59
201202,Minnesota,46.729,-94.685,-5.34,5.45,-21.33,0.65,76.66,8.0,4.03
201203,Minnesota,46.729,-94.685,5.69,25.07,-14.27,1.3,73.27,11.46,4.39
201204,Minnesota,46.729,-94.685,7.17,20.51,-5.31,2.85,65.59,17.02,4.07
201205,Minnesota,46.729,-94.685,14.26,30.69,3.04,6.86,69.55,19.41,3.59
201206,Minnesota,46.729,-94.685,19.02,28.09,5.76,5.55,73.18,22.5,2.85
201207,Minnesota,46.729,-94.685,23.34,33.01,14.16,3.45,71.56,22.7,2.43
201208,Minnesota,46.729,-94.685,20.52,33.18,7.96,1.59,59.24,21.02,2.62
201209,Minnesota,46.729,-94.685,14.91,31.87,0.04,0.46,50.84,16.52,3.12
201210,Minnesota,46.729,-94.685,5.91,23.61,-5.25,0.94,69.92,8.16,3.37
201211,Minnesota,46.729,-94.685,-1.21,12.11,-14.72,0.88,77.14,5.06,3.58
201212,Minnesota,46.729,-94.685,-9.69,6.71,-26.69,0.78,89.1,4.35,2.95
201213,Minnesota,46.729,-94.685,7.26,33.18,-26.85,2.14,71.37,13.42,3.46
201301,Minnesota,46.729,-94.685,-13.62,0.63,-34.54,0.79,94.12,5.96,3.99
201302,Minnesota,46.729,-94.685,-11.3,0.13,-35.34,0.91,95.17,9.73,3.68
201303,Minnesota,46.729,-94.685,-7.06,6.75,-24.18,1.57,91.39,14.57,3.48
201304,Minnesota,46.729,-94.685,1.76,21.04,-10.19,1.98,74.23,17.8,4.15
201305,Minnesota,46.729,-94.685,11.82,29.28,-3.56,3.13,74.88,17.84,3.56
201306,Minnesota,46.729,-94.685,17.55,26.7,4.3,4.02,76.48,20.53,2.99
201307,Minnesota,46.729,-94.685,21.58,32.75,7.65,2.02,65.22,22.14,3.03
201308,Minnesota,46.729,-94.685,21.85,36.03,10.48,1.22,57.97,20.03,2.63
201309,Minnesota,46.729,-94.685,17.28,33.11,3.69,2.38,67.48,13.78,3.42
201310,Minnesota,46.729,-94.685,6.15,23.57,-5.28,3.32,78.73,7.64,3.59
201311,Minnesota,46.729,-94.685,-3.12,9.91,-16.31,0.28,78.95,5.57,3.86
201312,Minnesota,46.729,-94.685,-16.78,0.48,-33.9,1.34,96.23,4.61,3.22
201313,Minnesota,46.729,-94.685,3.92,36.03,-35.34,1.92,79.16,13.37,3.46
201401,Minnesota,46.729,-94.685,-18.6,0.82,-37.58,0.57,94.44,7.05,4.59
