year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Missouri,38.573,-92.603,-4.07,13.57,-19.32,2.09,89.35,7.36,2.04
201002,Missouri,38.573,-92.603,-2.86,6.66,-14.92,2.17,88.38,9.96,1.95
201003,Missouri,38.573,-92.603,6.09,24.36,-3.26,2.32,87.19,13.14,2.0
201004,Missouri,38.573,-92.603,15.04,26.06,2.14,3.93,79.29,18.7,2.02
201005,Missouri,38.573,-92.603,18.01,29.37,4.37,5.26,81.92,19.79,1.58
201006,Missouri,38.573,-92.603,25.12,32.82,15.45,3.75,82.58,23.55,1.34
201007,Missouri,38.573,-92.603,26.23,33.23,14.07,6.55,82.47,22.54,1.24
201008,Missouri,38.573,-92.603,26.58,38.31,12.17,3.73,71.99,23.51,1.32
201009,Missouri,38.573,-92.603,20.33,30.83,6.29,5.88,79.38,16.61,1.48
201010,Missouri,38.573,-92.603,14.01,27.71,-0.4,0.45,69.26,15.31,1.48
201011,Missouri,38.573,-92.603,7.04,23.4,-6.49,2.77,73.49,9.12,1.8
201012,Missouri,38.573,-92.603,-1.61,17.01,-15.23,1.08,81.81,6.58,1.9
201013,Missouri,38.573,-92.603,12.57,38.31,-19.32,3.33,80.55,15.54,1.68
201101,Missouri,38.573,-92.603,-3.52,8.25,-13.61,0.55,83.47,7.39,1.96
201102,Missouri,38.573,-92.603,-0.7,21.58,-21.69,3.09,86.16,9.97,2.44
201103,Missouri,38.573,-92.603,5.73,24.84,-7.23,3.51,83.2,11.88,2.11
201104,Missouri,38.573,-92.603,13.4,28.77,-2.01,3.73,78.23,16.8,2.12
201105,Missouri,38.573,-92.603,17.42,29.83,1.47,5.96,80.97,18.02,1.77
201106,Missouri,38.573,-92.603,24.55,32.13,13.87,3.56,81.09,23.48,1.54
201107,Missouri,38.573,-92.603,29.46,40.85,18.01,1.62,67.2,24.77,1.19
201108,Missouri,38.573,-92.603,27.06,44.5,16.28,4.14,65.25,20.02,1.25
201109,Missouri,38.573,-92.603,18.53,38.93,4.96,2.23,64.46,17.68,1.46
201110,Missouri,38.573,-92.603,13.87,29.04,-0.16,1.06,62.82,14.23,1.53
201111,Missouri,38.573,-92.603,7.43,23.78,-6.46,4.04,77.8,7.76,1.91
201112,Missouri,38.573,-92.603,1.91,16.4,-5.71,2.67,85.02,6.78,1.7
201113,Missouri,38.573,-92.603,13.01,44.5,-21.69,3.01,76.23,14.92,1.74
201201,Missouri,38.573,-92.603,0.97,17.89,-10.8,0.64,79.59,8.72,2.33
201202,Missouri,38.573,-92.603,3.28,18.92,-12.85,2.08,77.21,11.4,2.22
201203,Missouri,38.573,-92.603,13.87,26.45,-4.26,4.18,80.59,15.23,2.2
201204,Missouri,38.573,-92.603,14.56,29.71,0.58,5.38,77.31,18.29,1.84
201205,Missouri,38.573,-92.603,20.58,32.66,8.22,0.83,72.68,24.58,1.49
201206,Missouri,38.573,-92.603,25.59,41.87,9.28,1.13,55.5,26.64,1.63
201207,Missouri,38.573,-92.603,30.96,43.29,19.41,1.5,45.89,24.75,1.32
201208,Missouri,38.573,-92.603,26.87,41.57,13.13,2.16,46.02,19.89,1.45
201209,Missouri,38.573,-92.603,20.0,35.78,4.49,2.14,66.81,16.29,1.5
201210,Missouri,38.573,-92.603,12.18,27.37,-2.51,2.98,70.09,11.99,1.75
201211,Missouri,38.573,-92.603,6.4,23.8,-7.03,1.02,75.89,10.12,1.48
201212,Missouri,38.573,-92.603,3.13,22.19,-8.02,1.43,80.69,6.68,1.89
201213,Missouri,38.573,-92.603,14.91,43.29,-12.85,2.12,68.98,16.22,1.76
201301,Missouri,38.573,-92.603,-0.27,22.21,-11.12,2.33,78.5,8.63,2.17
201302,Missouri,38.573,-92.603,0.03,15.77,-13.99,2.92,80.8,10.6,2.46
201303,Missouri,38.573,-92.603,2.4,23.19,-13.19,2.78,82.76,12.82,2.17
201304,Missouri,38.573,-92.603,10.76,26.22,-4.98,6.17,78.75,16.87,1.88
201305,Missouri,38.573,-92.603,17.35,28.79,-0.76,5.64,82.47,18.84,1.75
201306,Missouri,38.573,-92.603,22.51,32.66,10.67,3.17,81.37,22.13,1.49
201307,Missouri,38.573,-92.603,24.56,36.45,12.42,1.65,70.6,23.18,1.25
201308,Missouri,38.573,-92.603,24.3,37.55,12.24,3.56,74.66,20.07,1.12
201309,Missouri,38.573,-92.603,22.18,37.37,8.18,2.35,65.22,17.34,1.36
201310,Missouri,38.573,-92.603,13.28,30.42,-2.49,2.7,69.95,13.36,1.59
201311,Missouri,38.573,-92.603,4.78,20.33,-8.79,1.3,74.12,9.18,1.82
201312,Missouri,38.573,-92.603,-1.91,16.02,-15.97,0.99,82.29,6.73,1.77
201313,Missouri,38.573,-92.603,11.72,37.55,-15.97,2.96,76.78,15.0,1.73
201401,Missouri,38.573,-92.603,-3.93,14.66,-23.31,0.61,73.52,8.9,2.75
201402,Missouri,38.573,-92.603,-3.63,20.77,-18.36,0.87,77.93,10.18,2.25
201403,Missouri,38.573,-92.603,3.82,23.39,-17.73,0.95,70.31,16.49,2.25
201404,Missouri,38.573,-92.603,11.9,25.06,-4.23,5.14,76.24,17.19,1.95
201405,Missouri,38.573,-92.603,18.96,30.82,1.83,2.13,74.33,21.65,1.55
201406,Missouri,38.573,-92.603,23.83,33.31,10.81,3.96,78.2,20.89,1.57
201407,Missouri,38.573,-92.603,24.38,36.65,12.21,1.55,62.35,23.68,1.47
201408,Missouri,38.573,-92.603,26.69,39.27,14.37,3.26,64.44,20.16,1.27
201409,Missouri,38.573,-92.603,20.42,33.95,5.29,2.87,69.94,16.18,1.4
201410,Missouri,38.573,-92.603,13.52,29.6,-2.14,6.53,80.72,12.09,1.63
201411,Missouri,38.573,-92.603,2.66,20.44,-13.34,1.25,77.36,9.09,1.87
201412,Missouri,38.573,-92.603,1.79,17.29,-12.7,1.91,86.19,5.22,1.59
201413,Missouri,38.573,-92.603,11.79,39.27,-23.31,2.59,74.25,15.18,1.79
201501,Missouri,38.573,-92.603,-1.53,14.42,-16.15,0.81,81.94,8.7,1.98
201502,Missouri,38.573,-92.603,-3.62,15.21,-16.61,0.89,78.19,10.91,2.28
201503,Missouri,38.573,-92.603,6.46,23.1,-10.57,1.76,78.94,14.79,1.78
201504,Missouri,38.573,-92.603,13.84,25.91,-2.74,2.82,74.74,17.8,1.82
201505,Missouri,38.573,-92.603,18.44,27.73,4.65,4.99,79.11,18.92,1.67
201506,Missouri,38.573,-92.603,23.7,31.99,10.47,6.53,84.53,19.5,1.46
201507,Missouri,38.573,-92.603,25.37,36.25,14.31,6.81,83.62,20.63,1.23
201508,Missouri,38.573,-92.603,23.26,33.72,10.38,2.51,77.71,20.47,1.18
201509,Missouri,38.573,-92.603,22.77,35.27,8.63,0.96,67.48,18.0,1.42
201510,Missouri,38.573,-92.603,14.73,30.23,1.14,1.05,64.05,12.7,1.52
201511,Missouri,38.573,-92.603,8.67,24.43,-4.87,7.08,74.81,8.66,1.85
201512,Missouri,38.573,-92.603,4.1,19.71,-11.82,6.32,89.2,6.56,1.97
201513,Missouri,38.573,-92.603,13.11,36.25,-16.61,3.56,77.88,14.82,1.68
201601,Missouri,38.573,-92.603,-2.97,13.88,-16.46,0.73,91.31,8.38,2.01
201602,Missouri,38.573,-92.603,2.32,22.45,-10.93,0.51,83.1,11.15,2.46
201603,Missouri,38.573,-92.603,9.19,23.5,-5.53,2.05,81.55,13.45,2.08
201604,Missouri,38.573,-92.603,13.65,26.58,-3.36,3.35,77.4,19.45,1.94
201605,Missouri,38.573,-92.603,17.13,28.18,3.34,3.39,77.39,21.5,1.48
201606,Missouri,38.573,-92.603,25.98,37.47,14.02,1.35,69.13,25.99,1.34
201607,Missouri,38.573,-92.603,26.09,35.62,17.9,8.07,80.66,21.68,1.19
201608,Missouri,38.573,-92.603,24.73,33.12,13.24,3.55,82.73,19.16,1.12
201609,Missouri,38.573,-92.603,21.75,34.09,8.85,4.41,79.06,18.55,1.32
201610,Missouri,38.573,-92.603,16.63,31.31,3.11,1.19,75.68,12.4,1.59
201611,Missouri,38.573,-92.603,9.57,27.42,-4.41,0.91,74.53,9.18,1.57
201612,Missouri,38.573,-92.603,-0.52,16.4,-17.18,0.69,71.49,7.18,1.7
201613,Missouri,38.573,-92.603,13.65,37.47,-17.18,2.53,78.68,15.67,1.65
201701,Missouri,38.573,-92.603,0.94,20.76,-14.93,1.13,79.09,6.34,2.24
201702,Missouri,38.573,-92.603,6.89,24.64,-7.39,0.5,72.26,11.21,2.24
201703,Missouri,38.573,-92.603,9.02,27.91,-7.49,2.71,68.21,12.9,2.37
201704,Missouri,38.573,-92.603,14.64,28.67,-0.08,7.55,75.59,17.03,2.0
201705,Missouri,38.573,-92.603,17.82,30.21,5.12,5.19,78.29,22.29,1.71
201706,Missouri,38.573,-92.603,23.38,32.96,12.33,2.98,73.83,25.72,1.45
201707,Missouri,38.573,-92.603,27.25,40.71,14.74,3.07,65.16,25.2,1.3
201708,Missouri,38.573,-92.603,22.74,33.9,12.3,5.01,71.73,20.46,1.24
201709,Missouri,38.573,-92.603,22.07,34.35,8.25,1.08,62.11,18.69,1.26
201710,Missouri,38.573,-92.603,14.7,31.5,-3.37,3.57,70.07,12.03,1.72
201711,Missouri,38.573,-92.603,7.83,23.58,-6.61,0.32,70.08,8.72,1.67
201712,Missouri,38.573,-92.603,0.43,20.23,-16.03,0.33,70.47,7.6,1.94
201713,Missouri,38.573,-92.603,14.0,40.71,-16.03,2.8,71.41,15.7,1.76
201801,Missouri,38.573,-92.603,-2.73,17.94,-21.51,1.51,74.84,8.64,2.28
201802,Missouri,38.573,-92.603,1.11,23.42,-13.87,3.73,77.8,9.1,2.2
201803,Missouri,38.573,-92.603,5.68,21.06,-5.45,2.59,78.34,11.34,2.25
201804,Missouri,38.573,-92.603,8.51,25.92,-6.42,0.9,73.83,18.39,2.1
201805,Missouri,38.573,-92.603,22.71,33.73,11.23,2.88,76.64,20.9,1.39
201806,Missouri,38.573,-92.603,26.64,37.46,13.14,2.96,68.97,23.82,1.41
201807,Missouri,38.573,-92.603,27.23,39.3,14.72,1.92,62.41,23.6,1.26
201808,Missouri,38.573,-92.603,26.43,38.6,15.13,3.22,64.58,19.1,1.59
201809,Missouri,38.573,-92.603,22.86,34.61,9.01,2.08,71.5,17.06,1.34
201810,Missouri,38.573,-92.603,13.41,33.03,-1.92,4.59,77.76,11.96,1.6
201811,Missouri,38.573,-92.603,2.39,15.97,-8.19,2.35,83.7,7.62,1.59
201812,Missouri,38.573,-92.603,1.75,16.85,-8.88,3.62,84.53,6.84,1.84
201813,Missouri,38.573,-92.603,13.07,39.3,-21.51,2.69,74.55,14.89,1.74
201901,Missouri,38.573,-92.603,-2.01,17.48,-21.32,1.84,87.02,6.4,2.19
201902,Missouri,38.573,-92.603,-0.64,18.09,-19.45,2.34,88.02,8.36,2.29
201903,Missouri,38.573,-92.603,4.32,21.64,-15.76,3.56,81.58,13.42,2.23
201904,Missouri,38.573,-92.603,13.22,25.77,-3.26,3.56,79.06,18.42,1.96
201905,Missouri,38.573,-92.603,18.36,29.57,5.85,5.14,83.34,19.11,1.61
201906,Missouri,38.573,-92.603,22.51,33.86,9.69,3.2,81.9,22.39,1.36
201907,Missouri,38.573,-92.603,25.98,37.65,15.85,2.62,76.21,24.26,1.28
201908,Missouri,38.573,-92.603,25.54,37.64,15.53,5.51,73.55,18.6,1.3
201909,Missouri,38.573,-92.603,24.47,35.07,14.05,2.65,73.92,17.58,1.41
201910,Missouri,38.573,-92.603,11.78,32.92,-7.96,4.84,76.0,11.28,1.69
201911,Missouri,38.573,-92.603,3.9,17.56,-11.1,1.52,80.45,9.18,1.65
201912,Missouri,38.573,-92.603,2.76,18.5,-6.57,1.25,84.48,7.35,1.92
201913,Missouri,38.573,-92.603,12.59,37.65,-21.32,3.18,80.42,14.72,1.74
202001,Missouri,38.573,-92.603,-0.43,16.06,-13.21,4.16,88.67,6.24,1.96
202002,Missouri,38.573,-92.603,0.32,18.31,-16.89,2.22,85.71,10.12,2.09
202003,Missouri,38.573,-92.603,8.71,23.74,-4.47,4.05,83.23,12.64,2.0
202004,Missouri,38.573,-92.603,11.13,29.68,-3.16,3.37,79.09,17.7,1.82
202005,Missouri,38.573,-92.603,16.71,29.32,1.25,3.15,81.67,18.18,1.55
202006,Missouri,38.573,-92.603,23.76,32.0,12.18,4.3,80.05,24.99,1.37
202007,Missouri,38.573,-92.603,26.45,35.66,18.74,4.81,78.87,22.05,1.14
202008,Missouri,38.573,-92.603,24.4,36.98,12.86,2.19,71.45,20.88,1.21
202009,Missouri,38.573,-92.603,19.94,34.11,6.22,3.09,73.84,16.61,1.3
202010,Missouri,38.573,-92.603,12.01,31.11,-1.8,3.23,71.2,11.72,1.68
202011,Missouri,38.573,-92.603,8.17,24.29,-5.44,2.35,78.06,9.29,1.76
202012,Missouri,38.573,-92.603,1.41,17.3,-13.25,0.65,81.66,7.43,1.7
202013,Missouri,38.573,-92.603,12.75,36.98,-16.89,3.13,79.44,14.82,1.63
202101,Missouri,38.573,-92.603,-0.73,8.23,-9.62,2.86,88.13,5.94,1.97
202102,Missouri,38.573,-92.603,-4.4,17.52,-19.86,0.82,83.2,9.96,2.38
202103,Missouri,38.573,-92.603,8.65,22.05,-4.82,4.06,79.12,14.52,2.32
202104,Missouri,38.573,-92.603,11.57,25.92,-5.21,4.52,77.79,19.0,1.79
202105,Missouri,38.573,-92.603,16.71,28.24,3.07,3.95,80.58,17.47,1.58
202106,Missouri,38.573,-92.603,24.07,35.66,12.59,6.19,78.12,22.87,1.28
202107,Missouri,38.573,-92.603,24.86,33.88,16.88,2.97,80.9,21.82,1.15
202108,Missouri,38.573,-92.603,26.64,38.32,15.12,1.4,68.46,21.16,1.29
202109,Missouri,38.573,-92.603,22.99,34.6,9.52,2.29,62.36,18.82,1.53
202110,Missouri,38.573,-92.603,15.7,31.42,3.69,4.02,76.52,10.69,1.7
202111,Missouri,38.573,-92.603,6.68,23.62,-5.96,0.68,72.67,10.19,1.55
202112,Missouri,38.573,-92.603,6.09,23.19,-6.45,1.46,78.14,7.86,1.93
202113,Missouri,38.573,-92.603,13.35,38.32,-19.86,2.95,77.16,15.04,1.7
202201,Missouri,38.573,-92.603,-2.95,11.86,-16.21,0.74,76.13,9.3,2.26
202202,Missouri,38.573,-92.603,-0.85,18.7,-16.95,1.99,78.16,11.75,2.5
202203,Missouri,38.573,-92.603,6.72,23.77,-11.96,3.58,75.3,14.53,2.26
202204,Missouri,38.573,-92.603,11.46,27.34,-3.99,3.95,73.67,18.1,2.17
202205,Missouri,38.573,-92.603,18.81,31.89,6.41,4.92,80.85,18.54,1.77
202206,Missouri,38.573,-92.603,24.56,38.11,10.77,1.83,70.67,25.14,1.29
202207,Missouri,38.573,-92.603,28.04,41.13,17.19,2.51,61.97,22.53,1.34
202208,Missouri,38.573,-92.603,26.36,39.18,16.27,3.51,65.28,21.85,1.25
202209,Missouri,38.573,-92.603,21.75,37.59,5.58,1.29,60.66,18.53,1.37
202210,Missouri,38.573,-92.603,13.39,29.88,-5.27,2.9,58.68,14.24,1.58
202211,Missouri,38.573,-92.603,5.61,26.06,-7.4,2.4,75.43,9.93,1.73
202212,Missouri,38.573,-92.603,0.16,18.05,-19.56,1.14,80.07,5.99,2.02
202213,Missouri,38.573,-92.603,12.83,41.13,-19.56,2.57,71.36,15.88,1.79
202301,Missouri,38.573,-92.603,1.74,17.48,-12.94,1.54,83.55,7.25,2.09
202302,Missouri,38.573,-92.603,3.72,19.13,-11.32,2.35,76.46,11.96,2.26
202303,Missouri,38.573,-92.603,6.07,24.97,-8.47,3.13,78.03,13.24,2.33
202304,Missouri,38.573,-92.603,12.99,26.0,-1.41,0.74,69.9,21.41,2.01
202305,Missouri,38.573,-92.603,19.81,32.67,2.15,1.99,69.68,22.62,1.33
202306,Missouri,38.573,-92.603,25.39,40.95,11.47,1.19,55.26,24.22,1.31
202307,Missouri,38.573,-92.603,27.9,40.22,17.38,3.22,58.55,21.2,1.36
202308,Missouri,38.573,-92.603,25.12,38.28,12.17,5.48,75.29,20.34,1.28
202309,Missouri,38.573,-92.603,22.48,35.69,10.74,0.84,62.58,17.85,1.22
202310,Missouri,38.573,-92.603,14.9,33.82,-4.89,2.13,64.39,12.61,1.73
202311,Missouri,38.573,-92.603,7.66,27.62,-6.41,0.72,68.9,10.15,1.42
202312,Missouri,38.573,-92.603,4.41,18.18,-5.33,1.94,79.27,6.63,1.74
202313,Missouri,38.573,-92.603,14.41,40.95,-12.94,2.12,70.17,15.79,1.67
