year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Nebraska,41.492,-99.901,-4.69,10.0,-22.48,0.2,80.82,7.76,3.61
201002,Nebraska,41.492,-99.901,-4.09,7.95,-14.61,0.68,77.94,9.89,3.4
201003,Nebraska,41.492,-99.901,3.94,27.17,-6.8,1.44,72.48,13.04,3.96
201004,Nebraska,41.492,-99.901,10.2,26.91,-0.96,2.36,63.92,19.8,4.43
201005,Nebraska,41.492,-99.901,13.89,31.32,-1.43,2.67,64.19,21.94,4.18
201006,Nebraska,41.492,-99.901,21.27,33.99,10.05,7.85,72.13,24.14,3.22
201007,Nebraska,41.492,-99.901,23.61,34.0,13.77,3.92,70.97,24.9,3.03
201008,Nebraska,41.492,-99.901,23.32,34.2,12.17,3.24,64.61,22.42,3.04
201009,Nebraska,41.492,-99.901,17.92,34.81,6.66,1.59,61.6,17.75,3.45
201010,Nebraska,41.492,-99.901,11.83,29.59,-0.31,0.97,57.97,13.63,3.44
201011,Nebraska,41.492,-99.901,2.09,23.06,-11.29,0.33,65.6,9.15,3.55
201012,Nebraska,41.492,-99.901,-3.36,13.48,-17.38,0.27,75.52,6.35,3.4
201013,Nebraska,41.492,-99.901,9.74,34.81,-22.48,2.13,68.94,15.93,3.56
201101,Nebraska,41.492,-99.901,-5.43,12.64,-22.12,0.76,78.95,7.78,3.88
201102,Nebraska,41.492,-99.901,-3.25,19.38,-20.66,0.47,63.62,11.41,4.46
201103,Nebraska,41.492,-99.901,2.4,22.73,-9.05,0.89,69.98,12.94,3.98
201104,Nebraska,41.492,-99.901,7.75,26.27,-6.46,1.96,65.09,17.88,4.35
201105,Nebraska,41.492,-99.901,13.86,32.46,-0.29,3.52,59.6,19.94,4.14
201106,Nebraska,41.492,-99.901,20.94,34.52,8.28,3.2,64.68,23.43,3.62
201107,Nebraska,41.492,-99.901,26.04,37.73,15.43,3.22,66.35,24.17,2.96
201108,Nebraska,41.492,-99.901,24.34,39.0,14.86,1.69,62.83,21.42,2.79
201109,Nebraska,41.492,-99.901,17.07,37.39,3.79,0.68,51.66,17.57,2.93
201110,Nebraska,41.492,-99.901,11.4,31.18,-3.88,2.34,58.16,13.2,3.54
201111,Nebraska,41.492,-99.901,3.14,19.54,-6.29,0.17,55.62,9.78,3.85
201112,Nebraska,41.492,-99.901,-1.67,15.78,-15.71,0.32,70.0,6.71,3.73
201113,Nebraska,41.492,-99.901,9.79,39.0,-22.12,1.61,63.93,15.53,3.68
201201,Nebraska,41.492,-99.901,-0.54,17.15,-12.71,0.05,58.65,8.89,4.39
201202,Nebraska,41.492,-99.901,-1.14,12.58,-18.28,1.22,66.6,11.49,4.17
201203,Nebraska,41.492,-99.901,10.7,27.97,-4.79,0.53,51.76,17.5,4.09
201204,Nebraska,41.492,-99.901,12.18,32.9,0.43,3.75,59.56,18.2,4.11
201205,Nebraska,41.492,-99.901,17.81,34.82,3.75,1.29,50.14,24.11,3.78
201206,Nebraska,41.492,-99.901,25.36,43.0,8.28,0.52,46.85,26.33,4.01
201207,Nebraska,41.492,-99.901,29.56,41.8,17.56,0.95,38.05,26.42,3.19
201208,Nebraska,41.492,-99.901,24.91,40.52,10.91,0.65,44.92,22.71,3.31
201209,Nebraska,41.492,-99.901,19.57,38.53,5.94,0.14,36.64,18.83,3.13
201210,Nebraska,41.492,-99.901,9.52,31.39,-4.96,0.23,52.5,12.77,3.86
201211,Nebraska,41.492,-99.901,4.42,19.88,-7.57,0.08,61.33,8.88,3.19
201212,Nebraska,41.492,-99.901,-1.49,20.78,-13.28,0.38,63.96,6.73,3.47
201213,Nebraska,41.492,-99.901,12.62,43.0,-18.28,0.81,52.52,16.92,3.72
201301,Nebraska,41.492,-99.901,-2.83,12.1,-15.64,0.12,66.79,8.12,3.75
201302,Nebraska,41.492,-99.901,-1.01,15.14,-11.79,0.88,65.87,11.24,4.35
201303,Nebraska,41.492,-99.901,2.09,24.95,-9.25,0.41,57.32,15.6,4.23
201304,Nebraska,41.492,-99.901,5.9,28.99,-9.83,2.09,60.18,17.87,4.5
201305,Nebraska,41.492,-99.901,15.44,34.84,-2.4,3.51,60.46,21.36,3.92
201306,Nebraska,41.492,-99.901,21.77,38.0,6.19,2.25,57.96,25.71,3.29
201307,Nebraska,41.492,-99.901,25.13,40.35,12.6,2.11,51.65,24.17,2.9
201308,Nebraska,41.492,-99.901,24.36,39.64,13.96,3.01,63.42,19.79,2.89
201309,Nebraska,41.492,-99.901,21.09,40.53,5.18,2.24,54.63,17.2,3.58
201310,Nebraska,41.492,-99.901,9.01,26.32,-2.01,1.46,64.61,11.98,4.14
201311,Nebraska,41.492,-99.901,1.86,17.14,-10.29,0.43,65.51,9.14,3.59
201312,Nebraska,41.492,-99.901,-4.48,14.52,-17.82,0.06,68.23,7.37,3.81
201313,Nebraska,41.492,-99.901,9.92,40.53,-17.82,1.55,61.37,15.81,3.74
201401,Nebraska,41.492,-99.901,-3.52,14.18,-23.02,0.17,61.36,8.01,5.08
201402,Nebraska,41.492,-99.901,-4.88,12.46,-20.69,0.44,65.69,11.05,4.4
201403,Nebraska,41.492,-99.901,1.62,22.1,-22.0,0.47,58.33,15.27,4.53
201404,Nebraska,41.492,-99.901,9.11,28.12,-6.06,1.24,53.3,18.55,4.83
201405,Nebraska,41.492,-99.901,15.43,32.76,0.89,1.17,59.31,22.48,3.62
201406,Nebraska,41.492,-99.901,20.22,32.73,8.37,6.65,67.79,23.68,3.14
201407,Nebraska,41.492,-99.901,23.62,38.44,9.51,1.3,53.83,24.86,2.98
201408,Nebraska,41.492,-99.901,23.08,33.17,13.4,3.65,64.95,21.43,2.72
201409,Nebraska,41.492,-99.901,18.03,33.21,1.81,1.65,61.63,17.41,3.37
201410,Nebraska,41.492,-99.901,11.73,27.76,-5.3,0.82,56.13,14.09,3.57
201411,Nebraska,41.492,-99.901,0.4,20.0,-14.21,0.08,59.01,8.27,4.5
