year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,SouthDakota,43.969,-99.901,-7.69,7.13,-29.59,0.49,87.48,7.35,3.7
201002,SouthDakota,43.969,-99.901,-6.75,3.73,-18.88,0.38,85.02,11.18,2.98
201003,SouthDakota,43.969,-99.901,4.05,23.76,-6.32,1.18,74.56,12.04,3.24
201004,SouthDakota,43.969,-99.901,10.44,29.12,-2.54,2.29,64.72,18.09,4.19
201005,SouthDakota,43.969,-99.901,14.32,34.95,-1.21,3.0,63.31,21.53,4.11
201006,SouthDakota,43.969,-99.901,20.82,36.68,10.21,4.18,68.87,23.7,3.16
201007,SouthDakota,43.969,-99.901,25.09,41.69,13.9,3.03,59.79,25.13,3.22
201008,SouthDakota,43.969,-99.901,25.6,40.88,12.11,1.53,55.78,21.8,3.17
201009,SouthDakota,43.969,-99.901,16.62,32.19,4.1,1.99,64.76,16.2,3.77
201010,SouthDakota,43.969,-99.901,12.02,31.75,-3.64,0.68,60.81,12.95,3.57
201011,SouthDakota,43.969,-99.901,1.43,20.77,-15.51,0.14,69.91,7.55,3.39
201012,SouthDakota,43.969,-99.901,-6.8,7.97,-19.42,0.72,83.82,5.09,3.33
201013,SouthDakota,43.969,-99.901,9.19,41.69,-29.59,1.64,69.81,15.24,3.49
201101,SouthDakota,43.969,-99.901,-8.87,8.31,-21.46,0.43,87.66,7.48,3.54
201102,SouthDakota,43.969,-99.901,-5.48,20.08,-21.57,0.97,74.88,11.6,3.98
201103,SouthDakota,43.969,-99.901,0.11,24.94,-15.86,0.65,75.12,12.91,4.04
201104,SouthDakota,43.969,-99.901,6.81,24.23,-7.86,2.2,69.0,15.36,4.21
201105,SouthDakota,43.969,-99.901,13.45,30.77,-2.24,3.31,64.12,20.06,4.01
201106,SouthDakota,43.969,-99.901,20.53,37.1,8.46,6.04,67.82,22.5,3.52
201107,SouthDakota,43.969,-99.901,26.48,41.01,14.58,2.95,66.67,24.29,2.94
201108,SouthDakota,43.969,-99.901,24.0,41.7,13.63,2.06,62.2,21.36,2.88
201109,SouthDakota,43.969,-99.901,16.83,33.97,3.89,0.58,55.83,18.28,3.13
201110,SouthDakota,43.969,-99.901,11.28,33.37,-3.91,1.35,60.39,12.62,3.54
201111,SouthDakota,43.969,-99.901,2.16,16.91,-7.38,0.21,64.75,9.04,3.38
201112,SouthDakota,43.969,-99.901,-1.89,9.63,-14.44,0.1,74.63,6.2,3.51
201113,SouthDakota,43.969,-99.901,8.87,41.7,-21.57,1.74,68.58,15.16,3.55
201201,SouthDakota,43.969,-99.901,-2.41,13.23,-19.4,0.3,69.04,7.14,3.88
201202,SouthDakota,43.969,-99.901,-1.8,10.7,-19.63,1.09,71.07,10.44,3.59
201203,SouthDakota,43.969,-99.901,9.45,29.54,-8.78,0.34,59.34,16.25,4.01
201204,SouthDakota,43.969,-99.901,11.7,33.41,-1.87,3.23,58.07,18.26,4.16
201205,SouthDakota,43.969,-99.901,16.85,36.61,3.15,2.14,56.25,21.46,3.56
201206,SouthDakota,43.969,-99.901,23.96,41.31,9.65,2.11,52.49,26.06,3.59
201207,SouthDakota,43.969,-99.901,29.91,43.73,16.49,0.52,40.98,25.07,2.92
201208,SouthDakota,43.969,-99.901,25.26,43.92,11.09,0.48,41.14,22.1,3.03
201209,SouthDakota,43.969,-99.901,19.64,40.05,3.84,0.22,36.6,18.93,3.17
201210,SouthDakota,43.969,-99.901,9.04,30.04,-5.6,0.33,56.7,11.52,3.83
201211,SouthDakota,43.969,-99.901,2.57,20.81,-7.44,0.31,67.77,7.53,3.17
201212,SouthDakota,43.969,-99.901,-3.6,17.34,-16.17,0.43,77.54,5.78,2.87
201213,SouthDakota,43.969,-99.901,11.76,43.92,-19.63,0.95,57.21,15.89,3.48
201301,SouthDakota,43.969,-99.901,-4.97,10.67,-20.33,0.35,73.39,7.33,3.67
201302,SouthDakota,43.969,-99.901,-2.21,12.65,-18.24,0.57,72.45,10.25,3.69
201303,SouthDakota,43.969,-99.901,0.17,21.27,-10.0,0.46,62.7,14.0,4.06
201304,SouthDakota,43.969,-99.901,4.06,27.36,-8.81,2.45,66.66,16.21,3.91
201305,SouthDakota,43.969,-99.901,15.14,33.5,-3.04,4.03,62.68,20.63,3.53
201306,SouthDakota,43.969,-99.901,20.61,33.21,7.44,2.64,63.57,23.62,3.18
201307,SouthDakota,43.969,-99.901,24.77,39.38,10.3,2.07,55.81,24.25,2.73
201308,SouthDakota,43.969,-99.901,24.26,40.51,13.17,1.94,62.57,19.31,2.63
201309,SouthDakota,43.969,-99.901,21.61,37.58,6.0,1.01,53.28,16.77,3.58
201310,SouthDakota,43.969,-99.901,7.33,23.77,-2.96,4.06,73.97,10.01,3.87
201311,SouthDakota,43.969,-99.901,0.92,14.84,-12.71,0.17,72.12,8.31,3.31
201312,SouthDakota,43.969,-99.901,-8.46,8.06,-23.72,0.62,81.84,6.09,3.48
201313,SouthDakota,43.969,-99.901,8.66,40.51,-23.72,1.71,66.74,14.75,3.47
201401,SouthDakota,43.969,-99.901,-6.03,10.75,-23.84,0.09,70.89,7.13,4.66
201402,SouthDakota,43.969,-99.901,-7.64,15.42,-22.38,0.31,71.03,10.21,3.96
201403,SouthDakota,43.969,-99.901,-0.24,20.21,-23.55,0.38,67.1,14.34,3.97
201404,SouthDakota,43.969,-99.901,8.42,27.74,-9.62,1.87,58.9,18.04,4.19
201405,SouthDakota,43.969,-99.901,14.87,33.54,-0.58,2.46,64.81,21.76,3.33
201406,SouthDakota,43.969,-99.901,19.84,34.87,7.65,3.5,66.69,22.49,3.26
201407,SouthDakota,43.969,-99.901,24.26,42.93,9.25,0.62,52.19,24.7,3.04
201408,SouthDakota,43.969,-99.901,22.53,34.32,10.58,4.0,68.45,18.27,2.9
201409,SouthDakota,43.969,-99.901,17.94,33.39,4.36,0.88,61.31,16.99,3.42
201410,SouthDakota,43.969,-99.901,11.37,27.97,-6.29,0.35,57.73,12.82,3.91
201411,SouthDakota,43.969,-99.901,-1.85,19.54,-15.4,0.35,69.03,6.61,4.21
201412,SouthDakota,43.969,-99.901,-3.48,10.96,-22.11,0.37,81.32,5.98,3.25
201413,SouthDakota,43.969,-99.901,8.43,42.93,-23.84,1.27,65.76,14.97,3.67
201501,SouthDakota,43.969,-99.901,-4.09,14.25,-20.32,0.16,75.88,8.27,4.11
201502,SouthDakota,43.969,-99.901,-5.49,15.44,-19.73,0.13,67.77,10.98,3.9
201503,SouthDakota,43.969,-99.901,5.05,27.46,-18.18,0.15,57.13,16.24,4.01
201504,SouthDakota,43.969,-99.901,10.68,29.83,-4.85,0.54,54.4,19.44,4.08
201505,SouthDakota,43.969,-99.901,13.83,31.96,0.48,4.77,66.16,17.26,3.71
201506,SouthDakota,43.969,-99.901,22.0,36.74,12.04,3.26,63.11,23.76,2.82
201507,SouthDakota,43.969,-99.901,25.09,39.69,13.14,2.92,56.0,25.43,2.97
201508,SouthDakota,43.969,-99.901,23.57,40.2,10.06,2.8,56.9,20.51,3.22
201509,SouthDakota,43.969,-99.901,20.32,37.3,7.25,1.98,58.45,15.81,3.08
201510,SouthDakota,43.969,-99.901,11.51,30.09,-3.23,0.88,63.1,11.38,3.61
201511,SouthDakota,43.969,-99.901,2.79,20.55,-9.6,0.99,72.51,7.28,3.34
201512,SouthDakota,43.969,-99.901,-3.3,14.83,-13.91,0.61,84.89,5.62,3.13
201513,SouthDakota,43.969,-99.901,10.25,40.2,-20.32,1.61,64.69,15.18,3.5
201601,SouthDakota,43.969,-99.901,-4.76,11.47,-22.09,0.21,83.41,7.69,3.18
